StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Gain-Framed Message:_1,Loss-Framed Message:_1,QID1217973024,Q4,Q5,Q6_1,Q11_1,Q12_1,Q13_1,Q21_1,Q44_1,Q14,Q36_1,Q37_1,Q38_1,Q39_1,Q45_1,Q40,Q16,Q17,Q18,Q1,Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q6_5_TEXT,Q4,Q5,Q6,Q7,Q8,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q1,Q2,Q3,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q1,Q2,Q3,Q4,Q5,Q6,purchase deal_1,purchase deal_2,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,purchase deal_1,purchase deal_2,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Income_1,Shopping habit_1,FL_14_DO,FL_17_DO,FL_20_DO,FL_23_DO,IVandDV_DO,DefaultQuestionBlock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk or Cloudresearch or Connect ID,"If you see the slogan as this in your restroom:

“You can save water by turning off the tap while brushing your teeth.”
How likely are you to adopt this behavior in the next week?
(1 = Not at all likely, 7 = Extremely likely) - scale","If you see the slogan as this in your restroom:

“You are wasting water by leaving the tap on while brushing your teeth.”
How likely are you to adopt this behavior in the next week?
(1 = Not at all likely, 7 = Extremely likely) - scale",Which of the following best describes your political views?,What is your age?,What is your gender?,Do you consider yourself environmentally conscious? - scale,"Q1. How likely would you be to place an order under each of the following options? (1 = Not at all likely, 7 = Very likely) - 1:7","Q2. How fast does each of these delivery options feel to you?
 (1 = Very slow, 7 = Very fast) - 1:7","Q3. How much do you trust this ETA to be accurate? (1 = Not at all, 7 = Completely) - 1:7","Q4. How likely are you to recommend this app to a friend?
(1 = Not at all likely, 7 = Extremely likely) - 1:7","Q5. To ensure data quality, please select “7” for this question.(1 = Not at all likely, 7 = Extremely likely) - 1:7","Q6. At lunch time (12:00 PM), would you prefer a different format to show the time? (Estimated Delivery Time: **25–35 minutes**
)","Q1. How likely would you be to place an order under each of the following options? (1 = Not at all likely, 7 = Very likely) - 1:7","Q2. How fast does each of these delivery options feel to you?
 (1 = Very slow, 7 = Very fast) - 1:7","Q3. How much do you trust this ETA to be accurate? (1 = Not at all, 7 = Completely) - 1:7","Q4. How likely are you to recommend this app to a friend?
(1 = Not at all likely, 7 = Extremely likely) - 1:7","Q5. To ensure data quality, please select “7” for this question.(1 = Not at all likely, 7 = Extremely likely) - 1:7","Q6. At lunch time (12:00 PM), would you prefer a different format to show the time? (Estimated Delivery Time: **6:25 PM**)",What is your age group,What is your gender?,How often do you use the food delivery app?,How likely would you be to subscribe to a gym after seeing this message?,How motivating do you find this message?,How likely would you be to subscribe to a gym after seeing this message?,How motivating do you find this message?,Which age group do you belong to?,What is your current gender identity?,What is your annual household income (USD before taxes)?,What motivates you the most to work out? - Selected Choice,What motivates you the most to work out? - Other - Text,How likely are you to purchase this for your next grocery shopping?,What is the maximum amount you would be willing to pay for a pound of this Granola?,How much do you think a 12 oz package of this Granola typically costs?,To what extent do you believe this Granola is nutritious?,To what extent do you believe this Granola is produced in an environmentally sustainable way?,How likely are you to purchase this for your next grocery shopping?,What is the maximum amount you would be willing to pay for a pound of this Granola?,How much do you think a 12 oz package of this Granola typically costs?,To what extent do you believe this Granola is nutritious?,To what extent do you believe this Granola is produced in an environmentally sustainable way?,How often do you purchase granola for personal consumption?,"To what extent do you consider yourself environmentally conscious in your daily decisions (e.g., recycling, reducing waste, choosing eco-friendly products)?",To what extent do you consider your overall lifestyle and diet to be healthy?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I believe this product would perform well in daily use.,I am willing to purchase this Stanley tumbler.,I will recommend this product to a friend or family member.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I believe this product would perform well in daily use.,I am willing to purchase this Stanley tumbler.,I will recommend this product to a friend or family member.,To which gender identity do you most identify?,Which age group do you belong to?,Which of the following best describes your attitude toward environmental issues when choosing products?,Please answer the question based on the ads you see (1 least likely/ 7 very likely) - How likely are you to place the order instantly on Amazon?,Please answer the question based on the ads you see (1 least likely/ 7 very likely) - How likely are you to place the order instantly on Sony.com,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please answer the question based on the ads you see (1 least likely/ 7 very likely) - How likely are you to place the order instantly on Amazon?,Please answer the question based on the ads you see (1 least likely/ 7 very likely) - How likely are you to place the order instantly on Sony.com,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your Annual household Income? - Annual Household Income Level,How Often do you Shop Online? - Frequency Shopping Online?,FL_14 - Block Randomizer - Display Order,FL_17 - Block Randomizer - Display Order,FL_20 - Block Randomizer - Display Order,FL_23 - Block Randomizer - Display Order,IV and DV - Display Order,Default Question Block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID1217973022_1""}","{""ImportId"":""QID1217973023_1""}","{""ImportId"":""QID1217973024""}","{""ImportId"":""QID1217973026_TEXT""}","{""ImportId"":""QID1217973027""}","{""ImportId"":""QID1217973028_1""}","{""ImportId"":""QID1217973032_1""}","{""ImportId"":""QID1217973033_1""}","{""ImportId"":""QID1217973034_1""}","{""ImportId"":""QID1217973035_1""}","{""ImportId"":""QID1217973036_1""}","{""ImportId"":""QID1217973037""}","{""ImportId"":""QID1217973043_1""}","{""ImportId"":""QID1217973044_1""}","{""ImportId"":""QID1217973045_1""}","{""ImportId"":""QID1217973046_1""}","{""ImportId"":""QID1217973047_1""}","{""ImportId"":""QID1217973048""}","{""ImportId"":""QID1217973039""}","{""ImportId"":""QID1217973040""}","{""ImportId"":""QID1217973041""}","{""ImportId"":""QID1217973055""}","{""ImportId"":""QID1217973056""}","{""ImportId"":""QID1217973058""}","{""ImportId"":""QID1217973059""}","{""ImportId"":""QID1217973050""}","{""ImportId"":""QID1217973051""}","{""ImportId"":""QID1217973052""}","{""ImportId"":""QID1217973053""}","{""ImportId"":""QID1217973053_5_TEXT""}","{""ImportId"":""QID1217973062""}","{""ImportId"":""QID1217973063""}","{""ImportId"":""QID1217973064""}","{""ImportId"":""QID1217973065""}","{""ImportId"":""QID1217973066""}","{""ImportId"":""QID1217973071""}","{""ImportId"":""QID1217973072""}","{""ImportId"":""QID1217973073""}","{""ImportId"":""QID1217973074""}","{""ImportId"":""QID1217973075""}","{""ImportId"":""QID1217973067""}","{""ImportId"":""QID1217973068""}","{""ImportId"":""QID1217973069""}","{""ImportId"":""QID1217973076_FIRST_CLICK""}","{""ImportId"":""QID1217973076_LAST_CLICK""}","{""ImportId"":""QID1217973076_PAGE_SUBMIT""}","{""ImportId"":""QID1217973076_CLICK_COUNT""}","{""ImportId"":""QID1217973078""}","{""ImportId"":""QID1217973079""}","{""ImportId"":""QID1217973080""}","{""ImportId"":""QID1217973085_FIRST_CLICK""}","{""ImportId"":""QID1217973085_LAST_CLICK""}","{""ImportId"":""QID1217973085_PAGE_SUBMIT""}","{""ImportId"":""QID1217973085_CLICK_COUNT""}","{""ImportId"":""QID1217973087""}","{""ImportId"":""QID1217973088""}","{""ImportId"":""QID1217973089""}","{""ImportId"":""QID1217973081""}","{""ImportId"":""QID1217973082""}","{""ImportId"":""QID1217973083""}","{""ImportId"":""QID1217973092_1""}","{""ImportId"":""QID1217973092_2""}","{""ImportId"":""QID1217973093_FIRST_CLICK""}","{""ImportId"":""QID1217973093_LAST_CLICK""}","{""ImportId"":""QID1217973093_PAGE_SUBMIT""}","{""ImportId"":""QID1217973093_CLICK_COUNT""}","{""ImportId"":""QID1217973095_1""}","{""ImportId"":""QID1217973095_2""}","{""ImportId"":""QID1217973096_FIRST_CLICK""}","{""ImportId"":""QID1217973096_LAST_CLICK""}","{""ImportId"":""QID1217973096_PAGE_SUBMIT""}","{""ImportId"":""QID1217973096_CLICK_COUNT""}","{""ImportId"":""QID1217973097_1""}","{""ImportId"":""QID1217973098_1""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_20_DO""}","{""ImportId"":""FL_23_DO""}","{""ImportId"":""BL_6feQfAIfelJAvJ4_DO""}","{""ImportId"":""BL_3Fam45JmhBgoEce_DO""}"
2025-04-08 22:56:01,2025-04-08 22:57:47,0,216.19.179.199,100,105,1,2025-04-08 22:57:47,R_5eRvJftN4c0dcxY,,,,,49.2765,-123.1247,anonymous,EN,,4,,3,TEST- DISCARD DATA,2,3,,,,,,,4,5,6,6,6,2,5,2,2,,,2,2,4,2,1,2,,4,3,3,4,4,2,3,3,3,2,2,4,4,,,,,,,,1.604,3.78,4.318,3,3,3,3,2,3,2,4,4,2.24,2.976,3.827,2,,,,,,,2,2,"Block2.2-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-08 23:02:30,2025-04-08 23:07:39,0,104.51.223.190,100,308,1,2025-04-08 23:07:39,R_6js9fRIgIwdVRfj,,,,,30.0523,-95.3707,anonymous,EN,,,6,3,37,2,5,,,,,,,4,3,3,4,7,2,4,2,2,2,2,,,4,2,2,2,,4,2,2,3,3,2,2,3,3,3,3,2,3,0.768,14.6,15.382,10,3,3,3,,,,,,,,1,2,2,1,1,0.85,15.15,16.801,8,,,,,,,2,2,"Block2.1-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q7
2025-04-08 23:07:42,2025-04-08 23:10:26,0,209.114.26.201,100,164,1,2025-04-08 23:10:27,R_3nDDROCvG4U5Wbk,,,,,37.751,-97.822,anonymous,EN,A1KGVWQS740CY8,,1,3,31,1,5,5,6,7,5,7,2,,,,,,,3,1,2,4,4,,,3,1,3,4,,3,5,3,2,4,5,3,3,4,4,3,2,3,0.343,3.325,4.385,4,4,3,4,,,,,,,,2,2,3,4,6,0.179,3.334,4.767,4,,,,,,,2,3,"Block2.1-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithDeal,Loss-Framed Message:,Q5
2025-04-08 23:00:59,2025-04-08 23:15:39,0,63.131.214.230,100,879,1,2025-04-08 23:15:40,R_5pzZ0wzyx2xdhDn,,,,,38.2281,-84.8697,anonymous,EN,,,4,2,60,2,4,6,6,6,6,7,2,,,,,,,6,2,1,,,1,3,6,2,1,4,,1,1,4,3,3,1,1,5,3,3,2,3,2,,,,,,,,13.731,23.707,24.905,3,4,1,3,1,4,2,1,1,19.389,24.364,30.952,2,,,,,,,1,3,"Block2.2-IV,DV",Block-Organic|Block-Regular,DurabilityFrame,WithDeal,Loss-Framed Message:,Q5
2025-04-08 23:14:24,2025-04-08 23:16:53,0,170.39.166.158,100,149,1,2025-04-08 23:16:54,R_6PGf3CW3pTgDrTf,,,,,37.751,-97.822,anonymous,EN,AO5YCQ02AM51P,6,,3,32,2,6,,,,,,,5,6,6,5,7,2,3,2,3,,,5,4,3,2,3,2,,4,5,4,4,4,5,5,4,4,4,4,4,4,2.937,4.705,5.866,3,4,5,4,,,,,,,,1,2,2,5,6,0.119,3.231,3.962,3,,,,,,,2,2,"Block2.2-IV,DV",Block-Regular|Block-Organic,SustainabilityFrame,WithDeal,Gain-Framed Message:,Q7
2025-04-08 23:16:36,2025-04-08 23:19:33,0,209.114.19.41,100,177,1,2025-04-08 23:19:33,R_3QDoNjBHVLh7EFD,,,,,37.751,-97.822,anonymous,EN,A2TT40RROB0SCZ,,6,3,59,1,6,7,6,5,6,7,2,,,,,,,6,1,2,5,4,,,6,1,3,1,,5,4,4,4,5,5,4,4,5,4,4,5,4,,,,,,,,4.036,6.264,7.03,3,5,4,4,2,4,3,,,,,,,6,7,3.829,4.22,5.798,2,2,2,"Block2.1-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithoutDeal,Loss-Framed Message:,Q5
2025-04-08 23:21:10,2025-04-08 23:23:36,0,209.114.26.202,100,146,1,2025-04-08 23:23:37,R_1pmxZnt0czNH6i4,,,,,37.751,-97.822,anonymous,EN,A1D2W776ISG99K,1,,2,26,1,1,,,,,,,6,7,6,7,7,2,3,1,2,,,3,4,3,1,2,3,,5,3,5,3,4,5,3,5,2,3,4,3,2,0.462,8.7,9.422,5,4,5,4,,,,,,,,2,1,3,,,,,,,5,6,2.822,3.473,4.48,2,2,3,"Block2.2-IV,DV",Block-Organic|Block-Regular,SustainabilityFrame,WithoutDeal,Gain-Framed Message:,Q7
2025-04-08 23:24:36,2025-04-08 23:28:43,0,96.62.127.118,100,247,1,2025-04-08 23:28:44,R_5rrg25hMyZZjiEb,,,,,37.751,-97.822,anonymous,EN,A1GEGX14B7SUNT,,4,1,52,2,5,5,7,4,6,7,2,,,,,,,5,2,2,5,4,,,5,2,2,3,,4,3,4,4,5,4,3,5,4,3,4,3,5,,,,,,,,2.626,4.997,5.842,3,5,3,4,1,3,2,,,,,,,7,5,2.695,3.135,5.272,2,2,1,"Block2.1-IV,DV",Block-Regular|Block-Organic,DurabilityFrame,WithoutDeal,Loss-Framed Message:,Q5
