ResponseId,LocationLatitude,LocationLongitude,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q1.3,Q2.3,Q3.2,Q4.3,Q5.3,Q6.2
R_5pzZ0wzyx2xdhDn,38.2281,-84.8697,13.731,23.707,24.905,3.0,4,1,3,1,4,2
R_3QDoNjBHVLh7EFD,37.751,-97.822,4.036,6.264,7.03,3.0,5,4,4,2,4,3
R_5rrg25hMyZZjiEb,37.751,-97.822,2.626,4.997,5.842,3.0,5,3,4,1,3,2
R_5DpRikILGZhenZG,36.9689,-121.9903,3.352,6.376,7.088,3.0,5,5,4,2,2,2
R_3JFQ5gYoQFXCuvT,37.751,-97.822,10.415,14.262,15.251,3.0,5,5,5,2,2,3
R_7N4lbUq2o1wHz8n,45.0196,-93.2402,7.719,17.495,18.343,3.0,4,4,3,2,4,2
R_3GBujcDtqybVpqV,40.7662,-74.0178,1.961,8.062,9.701,4.0,5,4,4,2,1,3
R_3r9E0vBrZeiQtzz,39.7491,-104.9945,4.219,12.676,18.062,4.0,4,3,4,2,2,3
R_5aYdNCUGgR0tbsB,39.018,-77.539,24.675,45.634,46.517,4.0,4,3,4,1,3,2
R_1FkAdaSqjwiynTj,37.751,-97.822,21.302,29.012,30.665,4.0,3,4,4,1,2,2
R_3UYL3PW6yB6u6pr,33.7399,-117.0151,1.451,5.246,5.936,3.0,4,5,5,2,2,3
R_6WGSHoodBfFDdpB,33.508,-112.0995,10.518,19.528,20.286,3.0,4,3,3,1,2,2
R_31hSrBdhi6wWRXx,35.58,-97.5642,5.767,19.718,20.455,12.0,5,4,3,1,3,2
R_5DVhdELSpLv7JaJ,32.4984,-85.0184,13.256,23.411,26.511,5.0,5,4,3,1,4,2
R_6YJlN9gFamWI536,37.751,-97.822,2.517,6.616,8.908,3.0,4,4,4,1,2,2
R_7mlqsXrAzdxeFDr,40.6161,-89.4635,16.026,28.387,29.872,7.0,5,4,4,1,2,2
R_7k12jTN4rQn2kUh,34.9379,-82.1451,13.062,19.738,20.3,3.0,5,4,3,2,3,1
R_7QYFCDSMmljZdDr,38.7317,-82.9977,8.17,12.258,13.047,3.0,4,4,4,2,3,2
R_50jaUYty31aMcOf,39.0735,-84.3674,7.803,15.744,18.602,4.0,3,1,3,2,3,2
R_3EhjmD3t3lNU4L3,36.143,-80.3073,15.762,19.411,19.958,3.0,4,3,3,2,2,1
R_3Bzk4zvwBGsEzLz,39.109,-77.2489,12.113,17.607,18.552,4.0,4,2,2,2,3,3
R_52lUtOfppmez4TP,27.9697,-80.6486,13.923,22.556,23.175,4.0,5,5,3,2,3,2
R_1Hxw0kxfR5lOcal,32.3012,-90.1834,4.864,25.58,26.5,13.0,4,1,3,1,3,2
R_7jpqleDOzl2MjPV,42.518,-83.1576,1.988,10.558,11.228,12.0,5,4,5,1,1,2
R_63pPM3IozTCRvmF,45.1073,-67.4736,7.911,13.482,14.092,4.0,4,2,2,1,1,2
R_5XJky7HbYzwEMsF,31.1241,-97.9031,40.411,53.947,55.717,3.0,4,3,3,1,4,2
R_141aAiQKZa5vU6s,30.3773,-97.71,9.335,14.356,16.252,3.0,5,5,4,1,2,2
R_3B8L6YgBhIOam65,38.6353,-121.4558,20.729,24.654,25.255,5.0,4,4,2,1,2,2
R_140riMo6Iw2n3DI,41.2737,-82.8416,12.174,20.034,20.817,3.0,3,2,3,2,3,1
R_6zbC1Bayr387mjd,41.6842,-71.2649,8.127,43.444,44.184,4.0,5,3,3,2,3,1
R_5EWYE8xGdFjBIkw,39.7628,-105.0263,4.48,21.207,22.655,6.0,4,4,3,2,4,3
R_54efu3emG8BwbrO,36.9779,-76.6329,1.746,9.79,10.524,8.0,3,1,3,2,2,2
R_3rrfOSj6rGs6ty0,39.884,-74.9721,8.219,11.95,12.502,4.0,5,4,4,1,3,2
R_3WZRxoFDVfr7Pri,40.1201,-74.0594,10.773,16.643,17.518,4.0,5,4,4,1,4,1
R_3Ps0y94XX7OOBRT,39.7837,-77.3584,4.087,6.86,7.459,4.0,4,4,4,2,3,2
R_5noAcYQ9F65TP09,43.828,-91.304,2.338,20.119,21.441,7.0,3,2,2,2,2,2
R_8TN4BdeGHR4pCYo,41.0155,-73.8635,6.963,11.992,12.8,3.0,2,2,2,1,3,1
R_6xVq38KJUgKaSM9,47.0111,-122.875,15.23,21.212,22.965,3.0,5,4,4,1,4,2
R_6DZ8jiqy72fsTVi,37.751,-97.822,5.545,7.961,9.074,3.0,4,5,4,2,2,3
R_1cwsAnovyJlO9Od,32.8558,-97.0844,1.422,19.172,20.216,14.0,5,4,3,1,4,3
R_7M6yQZNBxvApDwZ,33.5146,-83.8626,3.119,12.5,13.101,7.0,4,3,4,1,3,3
R_5IElU5dXRfnhdlh,41.6697,-83.6071,9.175,13.814,14.31,3.0,4,1,1,1,2,2
R_3pnrlnMtjVwY19v,41.2132,-96.1668,23.24,25.95,26.8,3.0,5,5,4,2,3,2
R_7g2ESZjOkclVo0F,40.3061,-75.1483,4.721,9.134,9.624,3.0,4,2,3,1,2,2
R_3MP54ScOvLVL9Lj,41.921,-87.6454,5.596,14.125,15.375,3.0,4,4,3,2,3,3
R_1eCU2PVr842YjqG,35.3716,-80.53,20.66,26.492,27.287,6.0,5,5,4,1,3,2
R_1r7JGxFQgczgfQe,42.2859,-83.3714,5.422,10.607,11.41,3.0,4,2,3,2,4,1
R_7gcRmXdIwaECf9n,35.1947,-80.744,73.506,75.584,76.067,3.0,4,4,4,2,2,3
R_7YgkvBcchBo11uK,26.6067,-81.9507,3.706,7.369,8.401,3.0,4,4,4,1,2,2
R_5eQkCFw64DGWJhD,39.6343,-77.7337,10.002,20.57,21.554,4.0,5,4,4,2,3,2
R_6vhLIz81N0zjeYb,40.2459,-83.3603,5.685,10.354,11.287,3.0,4,2,3,2,3,3
R_6AYgLSV0DtOYo93,32.7797,-96.8022,2.803,9.435,10.08,4.0,4,4,3,1,2,2
R_5LtJTIfPdvY84Pn,39.4642,-87.3531,9.204,13.416,14.142,3.0,4,1,1,1,1,2
R_1cbTExIaveHx0Vg,34.0259,-80.9547,4.3,6.708,7.081,3.0,5,5,5,2,2,1
R_1DYk2hxcDjxlaIM,38.8173,-77.2905,5.881,8.023,9.057,3.0,5,4,4,2,2,3
R_7Ra3tKanMmEj1rD,36.0113,-115.2038,2.9,5.778,6.276,3.0,4,4,4,2,2,2
R_1kFDwrV5exUIKM5,33.9576,-118.267,3.449,13.941,14.655,12.0,5,4,4,1,3,2
R_67QXkvAGtsZkOfT,40.8771,-85.5045,8.535,26.118,27.195,3.0,5,1,1,1,2,2
R_1I5w1zR2vkI48zn,38.9053,-104.7021,6.013,9.701,10.57,3.0,4,1,1,2,3,1
R_7gqATTsRWbeFpNn,30.3415,-81.7358,1.694,8.128,8.802,7.0,3,1,1,1,4,2
R_7bOfQhlC6RDV9HC,32.7797,-96.8022,5.632,9.862,10.626,3.0,4,3,3,2,3,2
R_3gRAZXKcJlTtqsd,40.7251,-73.2454,6.166,10.438,11.2,4.0,5,4,4,2,2,2
R_30UajxDma0pjdY8,33.5674,-117.1758,6.709,12.948,15.508,3.0,4,3,3,1,4,2
R_7nQ8AG5pTHPjqaW,29.7539,-95.359,6.948,11.589,12.72,3.0,4,5,4,2,2,3
R_51jtLlse0sX7NVt,29.7738,-95.406,6.407,13.725,14.74,5.0,5,5,5,1,4,1
R_7zLrnr7puB2hhm1,43.4937,-70.4914,4.897,12.57,13.645,6.0,4,3,2,1,2,1
R_6AwJIHSpmOVfXnX,42.4607,-83.4582,5.384,12.341,13.75,3.0,4,4,4,2,2,2
R_7CB0hidvTGznHkm,39.7697,-89.6886,14.088,19.016,20.239,3.0,5,5,5,1,4,2
R_7eixz7viaeFI5Dr,33.9547,-118.212,5.077,9.332,9.89,3.0,4,4,2,2,2,1
R_3Fy3RtDtkeBxC6U,34.0544,-118.244,2.756,6.062,6.455,4.0,4,5,4,2,2,2
